(s),(mm),(kgf)
0,0,0.00001
0.1,0.00111,0.00026
0.2,0.005,0.00003
0.3,0.00911,0.00026
0.4,0.01264,0.0003
0.5,0.01612,0.00008
0.6,0.01923,-0.0001
0.7,0.02263,-0.00017
0.8,0.02595,0.0001
0.9,0.02911,0.00036
1,0.03253,0.00025
1.1,0.03604,0.0002
1.2,0.0392,-0.00005
1.3,0.04247,-0.00007
1.4,0.04606,0.00021
1.5,0.04922,0
1.6,0.05251,-0.00007
1.7,0.0561,0.00024
1.8,0.05946,0.00045
1.9,0.06258,-0.00006
2,0.06604,0.00014
2.1,0.06936,-0.00004
2.2,0.07266,-0.00012
2.3,0.07597,-0.00008
2.4,0.07933,0.00017
2.5,0.08249,-0.00025
2.6,0.08593,0.00017
2.7,0.08925,-0.00043
2.8,0.09274,0.00006
2.9,0.09594,0.00017
3,0.09932,-0.00016
3.1,0.10277,0
3.2,0.10597,0.00012
3.3,0.10932,-0.00033
3.4,0.11284,0.0003
3.5,0.11606,-0.00007
3.6,0.11917,0.0002
3.7,0.12274,0.00002
3.8,0.12585,-0.00009
3.9,0.12918,0.00003
4,0.13266,0.00007
4.1,0.1361,0.00012
4.2,0.13912,-0.00017
4.3,0.14264,-0.00003
4.4,0.14603,-0.00002
4.5,0.14936,0.00198
4.6,0.15267,0.00177
4.7,0.15612,0.00138
4.8,0.15932,0.00193
4.9,0.1626,0.0023
5,0.16596,0.00558
5.1,0.16932,0.01123
5.2,0.17255,0.01779
5.3,0.1759,0.02411
5.4,0.17936,0.03152
5.5,0.18258,0.03955
5.6,0.1859,0.0485
5.7,0.18948,0.05852
5.8,0.19272,0.0679
5.9,0.19592,0.07738
6,0.19953,0.08809
6.1,0.20268,0.09759
6.2,0.20593,0.10782
6.3,0.20937,0.1184
6.4,0.2127,0.12945
6.5,0.21576,0.13875
6.6,0.21931,0.15084
6.7,0.22262,0.16198
6.8,0.22598,0.17313
6.9,0.22925,0.1843
7,0.23271,0.19643
7.1,0.23596,0.20777
7.2,0.2393,0.21977
7.3,0.24271,0.23188
7.4,0.24612,0.24457
7.5,0.24932,0.25614
7.6,0.25255,0.26856
7.7,0.25602,0.27885
7.8,0.25919,0.27222
7.9,0.26252,0.27329
8,0.26608,0.27467
8.1,0.26932,0.27471
8.2,0.27246,0.27439
8.3,0.2761,0.27591
8.4,0.27931,0.27631
8.5,0.28261,0.27687
8.6,0.28617,0.27716
8.7,0.28946,0.27851
8.8,0.29254,0.27903
8.9,0.29602,0.27942
9,0.29936,0.28009
9.1,0.30259,0.28012
9.2,0.30592,0.28052
9.3,0.30932,0.28151
9.4,0.31258,0.28198
9.5,0.31592,0.2816
9.6,0.31928,0.28175
9.7,0.32278,0.28299
9.8,0.32598,0.28225
9.9,0.32932,0.28213
10,0.33279,0.28289
10.1,0.33593,0.28297
10.2,0.33928,0.28289
10.3,0.34274,0.28356
10.4,0.34597,0.28375
10.5,0.34912,0.28325
10.6,0.35268,0.28377
10.7,0.3559,0.28389
10.8,0.35925,0.28337
10.9,0.36268,0.28869
11,0.36608,0.29275
11.1,0.36918,0.28977
11.2,0.37267,0.28978
11.3,0.37608,0.28996
11.4,0.3794,0.29072
11.5,0.38266,0.29051
11.6,0.38605,0.29097
11.7,0.38931,0.29213
11.8,0.39246,0.29248
11.9,0.3959,0.29397
12,0.39946,0.295
12.1,0.40263,0.29504
12.2,0.40587,0.29535
12.3,0.40941,0.29728
12.4,0.41262,0.2975
12.5,0.41596,0.29834
12.6,0.41953,0.29921
12.7,0.42275,0.30073
12.8,0.42586,0.3012
12.9,0.42936,0.30414
13,0.43263,0.31218
13.1,0.43586,0.31895
13.2,0.43927,0.32459
13.3,0.44271,0.33383
13.4,0.44581,0.34354
13.5,0.44924,0.35581
13.6,0.45262,0.36808
13.7,0.45605,0.38183
13.8,0.45933,0.39511
13.9,0.46277,0.41059
14,0.46607,0.42511
14.1,0.46923,0.43928
14.2,0.47266,0.45468
14.3,0.47615,0.47114
14.4,0.47927,0.48453
14.5,0.48246,0.49986
14.6,0.48604,0.5164
14.7,0.48924,0.53041
14.8,0.49255,0.54592
14.9,0.49606,0.56194
15,0.49943,0.57819
15.1,0.50251,0.59229
15.2,0.50611,0.60981
15.3,0.50939,0.62494
15.4,0.5127,0.6405
15.5,0.51603,0.65641
15.6,0.51944,0.67244
15.7,0.52256,0.68688
15.8,0.52588,0.70274
15.9,0.52923,0.71866
16,0.53269,0.73555
16.1,0.53591,0.751
16.2,0.53929,0.76695
16.3,0.54268,0.78345
16.4,0.54585,0.79873
16.5,0.5493,0.81556
16.6,0.55287,0.833
16.7,0.55606,0.84833
16.8,0.5592,0.86299
16.9,0.56282,0.88114
17,0.56591,0.8957
17.1,0.56917,0.91202
17.2,0.57264,0.92847
17.3,0.57606,0.94516
17.4,0.57908,0.96019
17.5,0.58271,0.97789
17.6,0.58597,0.99369
17.7,0.58931,1.01014
17.8,0.59263,1.02661
17.9,0.59613,1.04398
18,0.59933,1.05986
18.1,0.60268,1.07596
18.2,0.60604,1.09265
18.3,0.60942,1.10895
18.4,0.6126,1.12443
18.5,0.61589,1.14067
18.6,0.61932,1.15771
18.7,0.62252,1.17325
18.8,0.62592,1.19044
18.9,0.62942,1.2075
19,0.63264,1.2232
19.1,0.63583,1.23954
19.2,0.63947,1.25725
19.3,0.64268,1.27257
19.4,0.64596,1.2893
19.5,0.64944,1.30617
19.6,0.65276,1.32276
19.7,0.65578,1.33757
19.8,0.65931,1.35486
19.9,0.66263,1.37191
20,0.66592,1.38727
20.1,0.66927,1.40407
20.2,0.67267,1.42079
20.3,0.67588,1.43674
20.4,0.67927,1.45309
20.5,0.68268,1.47017
20.6,0.68619,1.48752
20.7,0.68938,1.50333
20.8,0.6926,1.51938
20.9,0.6961,1.53616
21,0.69928,1.55195
21.1,0.70259,1.56808
21.2,0.70607,1.58527
21.3,0.70928,1.60087
21.4,0.71247,1.61713
21.5,0.71608,1.63449
21.6,0.71927,1.65028
21.7,0.72256,1.66658
21.8,0.72608,1.68403
21.9,0.72945,1.7004
22,0.73259,1.71561
22.1,0.73605,1.73323
22.2,0.73938,1.74941
22.3,0.74265,1.76562
22.4,0.74594,1.78148
22.5,0.74934,1.79866
22.6,0.75253,1.81375
22.7,0.75583,1.83045
22.8,0.75926,1.84722
22.9,0.76278,1.86441
23,0.7659,1.88022
23.1,0.76927,1.89642
23.2,0.77274,1.91404
23.3,0.77599,1.92953
23.4,0.77932,1.94642
23.5,0.78284,1.96337
23.6,0.78607,1.97936
23.7,0.78916,1.99441
23.8,0.79268,2.0117
23.9,0.7959,2.02727
24,0.79922,2.04378
24.1,0.8027,2.06148
24.2,0.80609,2.07826
24.3,0.80914,2.09288
24.4,0.81267,2.1107
24.5,0.81602,2.12706
24.6,0.81947,2.14401
24.7,0.82267,2.15975
24.8,0.8261,2.17685
24.9,0.82933,2.19251
25,0.83251,2.20803
25.1,0.83593,2.22508
25.2,0.83938,2.24225
25.3,0.84254,2.25773
25.4,0.84585,2.27434
25.5,0.8494,2.29138
25.6,0.85251,2.30672
25.7,0.85587,2.32366
25.8,0.85949,2.34146
25.9,0.86276,2.35753
26,0.86593,2.37314
26.1,0.86942,2.39061
26.2,0.87267,2.40643
26.3,0.87601,2.42264
26.4,0.87934,2.43896
26.5,0.88271,2.45535
26.6,0.88579,2.47072
26.7,0.88929,2.48765
26.8,0.89259,2.50407
26.9,0.89605,2.52091
27,0.89927,2.53676
27.1,0.9027,2.5535
27.2,0.90607,2.57003
27.3,0.90931,2.5855
27.4,0.91265,2.60181
27.5,0.91618,2.61897
