time,kN,disp,elongation
0,0.03125,0,0
0.05,0.03125,0,-0.0003125
0.1,3.05E-02,0,-0.000625
0.15,0.03125,0,-0.0003125
0.2,2.89E-02,0,-0.0009375
0.25,2.89E-02,0,-0.0003125
0.3,3.36E-02,0,-0.000625
0.35,0.034375,0,-0.0009375
0.4,0.03125,0,0
0.45,3.05E-02,0,-0.0003125
0.5,0.0328125,0,-0.0009375
0.55,3.36E-02,0,-0.000625
0.6,0.0328125,0,0
0.65,0.040625,0,-0.000625
0.7,0.0421875,0,-0.000625
0.75,0.0484375,0.0005,-0.0009375
0.8,5.70E-02,0.001,-0.0015625
0.85,0.06875,0.0015,-0.0003125
0.9,8.83E-02,0.0025,0.0003125
0.95,0.1117188,0.0035,-0.0003125
1,0.1398437,0.0045,-0.000625
1.05,0.1679688,0.006,0.0009375
1.1,0.2007813,0.008,0.0009375
1.15,0.2351563,0.0095,0.000625
1.2,0.26875,0.0115,0.0009375
1.25,0.3023438,0.0135,0.001875
1.3,0.3382812,0.0155,0.0015625
1.35,0.3671875,0.018,0.0021875
1.4,0.4,0.0205,0.0034375
1.45,0.4320312,0.0225,0.003125
1.5,0.4578125,0.025,0.003125
1.55,0.4851562,0.028,0.003125
1.6,0.5007812,0.0305,0.0034375
1.65,0.5070313,0.0325,0.004375
1.7,0.5210937,0.0355,0.0040625
1.75,0.5367187,0.038,0.0040625
1.8,0.5664063,0.04,0.003125
1.85,0.5890625,0.043,0.0040625
1.9,0.6117188,0.0455,0.0040625
1.95,0.6304687,0.048,0.005
2,0.65,0.0505,0.004375
2.05,0.6742188,0.053,0.0046875
2.1,0.6945313,0.0555,0.0053125
2.15,0.7125,0.058,0.005625
2.2,0.7328125,0.0605,0.005
2.25,0.7523438,0.063,0.0053125
2.3,0.7710937,0.0655,0.0053125
2.35,0.7914063,0.068,0.005625
2.4,0.8078125,0.0705,0.005
2.45,0.8242188,0.073,0.0053125
2.5,0.846875,0.0755,0.005625
2.55,0.8671875,0.078,0.0053125
2.6,0.884375,0.0805,0.00625
2.65,0.903125,0.083,0.006875
2.7,0.9210938,0.085,0.006875
2.75,0.9375,0.0875,0.0071875
2.8,0.9539062,0.09,0.0065625
2.85,0.9726563,0.0925,0.0065625
2.9,0.9867188,0.0945,0.0075
2.95,1.005469,0.097,0.0075
3,1.027344,0.099,0.0075
3.05,1.046875,0.1015,0.0075
3.1,1.061719,0.104,0.0078125
3.15,1.078125,0.106,0.0078125
3.2,1.095312,0.1085,0.0078125
3.25,1.109375,0.1105,0.0084375
3.3,1.123438,0.1125,0.008125
3.35,1.144531,0.115,0.008125
3.4,1.157031,0.117,0.0078125
3.45,1.172656,0.119,0.00875
3.5,1.189062,0.1215,0.0090625
3.55,1.20625,0.1235,0.00875
3.6,1.221094,0.1255,0.0090625
3.65,1.235937,0.1275,0.0084375
3.7,1.253906,0.13,0.0084375
3.75,1.267969,0.132,0.00875
3.8,1.283594,0.134,0.0096875
3.85,1.297656,0.136,0.01
3.9,1.313281,0.138,0.01
3.95,1.329687,0.14,0.01
4,1.34375,0.142,0.01
4.05,1.359375,0.144,0.010625
4.1,1.372656,0.146,0.010625
4.15,1.391406,0.148,0.0109375
4.2,1.403906,0.15,0.01
4.25,1.415625,0.152,0.010625
4.3,1.428125,0.154,0.011875
4.35,1.44375,0.156,0.0109375
4.4,1.458594,0.1575,0.0109375
4.45,1.474219,0.1595,0.0115625
4.5,1.486719,0.1615,0.011875
4.55,1.5,0.1635,0.0121875
4.6,1.5125,0.1655,0.0125
4.65,1.526562,0.167,0.011875
4.7,1.542187,0.169,0.011875
4.75,1.553906,0.171,0.011875
4.8,1.564844,0.1725,0.0125
4.85,1.578906,0.1745,0.0128125
4.9,1.592969,0.1765,0.013125
4.95,1.603906,0.178,0.0125
5,1.621094,0.18,0.0125
5.05,1.630469,0.182,0.011875
5.1,1.644531,0.1835,0.0134375
5.15,1.657812,0.1855,0.013125
5.2,1.671094,0.1875,0.013125
5.25,1.685156,0.189,0.014375
5.3,1.694531,0.191,0.0134375
5.35,1.710156,0.1925,0.0134375
5.4,1.724219,0.1945,0.01375
5.45,1.735937,0.1965,0.0140625
5.5,1.747656,0.198,0.013125
5.55,1.757813,0.1995,0.01375
5.6,1.771094,0.2015,0.014375
5.65,1.780469,0.2035,0.014375
5.7,1.796875,0.205,0.015
5.75,1.80625,0.207,0.0146875
5.8,1.817188,0.2085,0.014375
5.85,1.832813,0.2105,0.015
5.9,1.844531,0.212,0.015
5.95,1.858594,0.214,0.0146875
6,1.873438,0.2155,0.015
6.05,1.885937,0.2175,0.0146875
6.1,1.896875,0.219,0.0153125
6.15,1.903125,0.221,0.015625
6.2,1.916406,0.2225,0.01625
6.25,1.934375,0.224,0.015625
6.3,1.947656,0.226,0.015625
6.35,1.958594,0.228,0.015625
6.4,1.971875,0.2295,0.01625
6.45,1.982031,0.231,0.0159375
6.5,1.992188,0.233,0.0159375
6.55,2.001563,0.2345,0.0165625
6.6,2.014062,0.236,0.0175
6.65,2.025781,0.238,0.016875
6.7,2.035156,0.2395,0.0175
6.75,2.052344,0.241,0.0171875
6.8,2.065625,0.243,0.01625
6.85,2.078125,0.2445,0.0165625
6.9,2.090625,0.246,0.0184375
6.95,2.101563,0.2475,0.0178125
7,2.113281,0.2495,0.0171875
7.05,2.128906,0.251,0.0175
7.1,2.138281,0.2525,0.0175
7.15,2.14375,0.2545,0.0190625
7.2,2.15625,0.256,0.018125
7.25,2.16875,0.2575,0.018125
7.3,2.184375,0.259,0.0190625
7.35,2.196875,0.261,0.0190625
7.4,2.208594,0.2625,0.01875
7.45,2.221094,0.264,0.01875
7.5,2.23125,0.2655,0.019375
7.55,2.241406,0.2675,0.019375
7.6,2.25,0.2685,0.0196875
7.65,2.260937,0.2705,0.019375
7.7,2.275781,0.272,0.0190625
7.75,2.2875,0.2735,0.019375
7.8,2.295312,0.275,0.02
7.85,2.30625,0.277,0.0196875
7.9,2.316406,0.278,0.020625
7.95,2.326562,0.2795,0.020625
8,2.3375,0.2815,0.0203125
8.05,2.348438,0.283,0.02
8.1,2.360156,0.2845,0.020625
8.15,2.371094,0.286,0.0203125
8.2,2.392188,0.2875,0.02125
8.25,2.400781,0.289,0.0209375
8.3,2.409375,0.291,0.02125
8.35,2.417969,0.2925,0.0209375
8.4,2.425781,0.294,0.02125
8.45,2.434375,0.2955,0.0209375
8.5,2.448437,0.297,0.0215625
8.55,2.4625,0.2985,0.0215625
8.6,2.477344,0.3,0.0221875
8.65,2.489063,0.302,0.021875
8.7,2.499219,0.3035,0.021875
8.75,2.511719,0.3045,0.0215625
8.8,2.521094,0.3065,0.0225
8.85,2.532031,0.308,0.021875
8.9,2.545312,0.3095,0.0215625
8.95,2.553125,0.311,0.0228125
9,2.563281,0.3125,0.0228125
9.05,2.574219,0.314,0.0225
9.1,2.582031,0.3155,0.023125
9.15,2.59375,0.317,0.0228125
9.2,2.605469,0.3185,0.0225
9.25,2.617969,0.32,0.023125
9.3,2.63125,0.3215,0.0228125
9.35,2.640625,0.323,0.023125
9.4,2.655469,0.3245,0.023125
9.45,2.663281,0.326,0.023125
9.5,2.671875,0.3275,0.0234375
9.55,2.68125,0.329,0.02375
9.6,2.69375,0.3305,0.02375
9.65,2.704688,0.332,0.0234375
9.7,2.719531,0.3335,0.0240625
9.75,2.729687,0.335,0.02375
9.8,2.739063,0.3365,0.024375
9.85,2.748437,0.338,0.0240625
9.9,2.75625,0.3395,0.0253125
9.95,2.771094,0.341,0.0240625
10,2.779687,0.3425,0.024375
10.05,2.789063,0.344,0.025
10.1,2.802344,0.345,0.0246875
10.15,2.813281,0.3465,0.025
10.2,2.824219,0.3485,0.0253125
10.25,2.834375,0.3495,0.025
10.3,2.845313,0.351,0.0253125
10.35,2.854687,0.3525,0.0253125
10.4,2.8625,0.354,0.0259375
10.45,2.874219,0.3555,0.0253125
10.5,2.884375,0.357,0.025625
10.55,2.898438,0.3585,0.0259375
10.6,2.9125,0.36,0.02625
10.65,2.919531,0.361,0.025625
10.7,2.929688,0.363,0.0259375
10.75,2.940625,0.3645,0.0265625
10.8,2.948437,0.3655,0.026875
10.85,2.958594,0.367,0.02625
10.9,2.971094,0.3685,0.026875
10.95,2.978906,0.37,0.026875
11,2.991406,0.3715,0.0265625
11.05,3.001563,0.373,0.026875
11.1,3.010937,0.3745,0.026875
11.15,3.026562,0.376,0.0271875
11.2,3.032031,0.3775,0.0278125
11.25,3.041406,0.379,0.026875
11.3,3.051563,0.3805,0.0271875
11.35,3.063281,0.382,0.0271875
11.4,3.073437,0.383,0.0284375
11.45,3.085938,0.3845,0.0284375
11.5,3.096094,0.386,0.02875
11.55,3.104687,0.3875,0.0284375
11.6,3.114844,0.389,0.028125
11.65,3.127344,0.3905,0.028125
11.7,3.139844,0.3915,0.0290625
11.75,3.15,0.393,0.02875
11.8,3.164063,0.3945,0.0284375
11.85,3.171094,0.396,0.02875
11.9,3.179688,0.3975,0.0284375
11.95,3.191406,0.399,0.0290625
12,3.198437,0.4,0.0290625
12.05,3.210156,0.4015,0.0290625
12.1,3.221094,0.403,0.0296875
12.15,3.228125,0.4045,0.029375
12.2,3.239063,0.406,0.0296875
12.25,3.251563,0.407,0.0290625
12.3,3.264844,0.4085,0.03
12.35,3.272656,0.41,0.0296875
12.4,3.285156,0.4115,0.0303125
12.45,3.298438,0.413,0.03
12.5,3.307031,0.414,0.03
12.55,3.31875,0.4155,0.030625
12.6,3.325,0.417,0.0309375
12.65,3.334375,0.4185,0.03
12.7,3.340625,0.42,0.0303125
12.75,3.355469,0.421,0.0303125
12.8,3.365625,0.4225,0.0303125
12.85,3.377344,0.424,0.0315625
12.9,3.385156,0.4255,0.0315625
12.95,3.392969,0.4265,0.0309375
13,3.403906,0.428,0.0315625
13.05,3.420312,0.4295,0.0315625
13.1,3.432812,0.431,0.0321875
13.15,3.442188,0.4325,0.0325
13.2,3.449219,0.434,0.0315625
13.25,3.460938,0.435,0.03125
13.3,3.471875,0.4365,0.0315625
13.35,3.485156,0.438,0.0315625
13.4,3.496094,0.4395,0.031875
13.45,3.502344,0.4405,0.033125
13.5,3.5125,0.442,0.031875
13.55,3.523438,0.4435,0.0321875
13.6,3.533594,0.445,0.0321875
13.65,3.544531,0.446,0.033125
13.7,3.553125,0.4475,0.0328125
13.75,3.560156,0.449,0.033125
13.8,3.570313,0.45,0.033125
13.85,3.58125,0.4515,0.0334375
13.9,3.594531,0.453,0.033125
13.95,3.604687,0.4545,0.03375
14,3.619531,0.4555,0.0328125
14.05,3.624219,0.457,0.0334375
14.1,3.632813,0.4585,0.03375
14.15,3.644531,0.46,0.0334375
14.2,3.655469,0.4615,0.0334375
14.25,3.664063,0.4625,0.0346875
14.3,3.674219,0.464,0.0340625
14.35,3.690625,0.4655,0.0340625
14.4,3.698437,0.4665,0.034375
14.45,3.707031,0.468,0.03375
14.5,3.714062,0.4695,0.035
14.55,3.725781,0.4705,0.0353125
14.6,3.7375,0.472,0.0353125
14.65,3.749219,0.4735,0.0353125
14.7,3.760937,0.475,0.034375
14.75,3.769531,0.476,0.035
14.8,3.776562,0.4775,0.035625
14.85,3.789063,0.479,0.03625
14.9,3.796094,0.48,0.035625
14.95,3.80625,0.4815,0.0365625
15,3.817969,0.483,0.0365625
15.05,3.826562,0.484,0.036875
15.1,3.836719,0.4855,0.036875
15.15,3.853906,0.487,0.0371875
15.2,3.861719,0.488,0.03625
15.25,3.867188,0.4895,0.036875
15.3,3.875,0.491,0.0365625
15.35,3.884375,0.4925,0.0359375
15.4,3.897656,0.4935,0.0359375
15.45,3.908594,0.495,0.03625
15.5,3.917969,0.4965,0.0371875
15.55,3.926563,0.498,0.03625
15.6,3.934375,0.499,0.0378125
15.65,3.945313,0.5005,0.0378125
15.7,3.957813,0.502,0.038125
15.75,3.964844,0.503,0.03875
15.8,3.975781,0.5045,0.038125
15.85,3.985938,0.506,0.038125
15.9,3.996875,0.5075,0.0384375
15.95,4.008594,0.5085,0.0378125
16,4.017969,0.51,0.0378125
16.05,4.027344,0.5115,0.0384375
16.1,4.038281,0.5125,0.0378125
16.15,4.046875,0.514,0.03875
16.2,4.05625,0.5155,0.0384375
16.25,4.064063,0.517,0.0378125
16.3,4.072656,0.518,0.03875
16.35,4.084375,0.5195,0.039375
16.4,4.095313,0.521,0.039375
16.45,4.104688,0.522,0.039375
16.5,4.115625,0.5235,0.0396875
16.55,4.125781,0.525,0.0390625
16.6,4.135938,0.5265,0.040625
16.65,4.146094,0.5275,0.04
16.7,4.153125,0.529,0.0396875
16.75,4.164063,0.5305,0.0403125
16.8,4.173438,0.532,0.040625
16.85,4.178906,0.533,0.0409375
16.9,4.194531,0.5345,0.040625
16.95,4.20625,0.536,0.04125
17,4.214063,0.537,0.04
17.05,4.225781,0.5385,0.0415625
17.1,4.232812,0.54,0.0409375
17.15,4.242969,0.5415,0.04125
17.2,4.25,0.5425,0.0421875
17.25,4.263281,0.544,0.0421875
17.3,4.272656,0.545,0.041875
17.35,4.283594,0.5465,0.0415625
17.4,4.294531,0.548,0.041875
17.45,4.301562,0.5495,0.0425
17.5,4.309375,0.5505,0.041875
17.55,4.319531,0.552,0.0421875
17.6,4.330469,0.5535,0.0421875
17.65,4.340625,0.555,0.043125
17.7,4.348437,0.556,0.0428125
17.75,4.357031,0.5575,0.04375
17.8,4.367969,0.559,0.045
17.85,4.374219,0.56,0.043125
17.9,4.382031,0.5615,0.04375
17.95,4.39375,0.563,0.044375
18,4.404687,0.5645,0.044375
18.05,4.413281,0.5655,0.0440625
